Emp ID;Name Prefix;First Name;Middle Initial;Last Name;Gender;E Mail;Date of Birth;SSN;Phone No. ;Place Name;County;City;State;Zip;Region;User Name;Father's Name;Mother's Name;Mother's Maiden Name;Time of Birth;Age in Yrs.;Weight in Kgs.;Date of Joining;Quarter of Joining;Half of Joining;Year of Joining;Month of Joining;Month Name of Joining;Short Month;Day of Joining;DOW of Joining;Short DOW;Age in Company (Years);Salary;Last % Hike;Password
198429;Mrs.;Serafina;I;Bumgarner;F;serafina.bumgarner@exxonmobil.com;9/21/1982;063-02-3609;212-376-9125;Clymer;Chautauqua;Clymer;NY;14724;Northeast;sibumgarner;Vaughn Bumgarner;Sharell Bumgarner;Floyd;1:53:14 a. m.;34.87;45;2/1/08;Q1;H1;2008;2;February;Feb;1;Friday;Fri;9.49;69294;14%;vLzv}J-mM^ub
178566;Mrs.;Juliette;M;Rojo;F;juliette.rojo@yahoo.co.uk;05/08/1967;671-48-9915;215-254-9594;Glenside;Montgomery;Glenside;PA;19038;Northeast;jmrojo;Williams Rojo;Rufina Rojo;Stearns;6:03:23 p. m.;50.26;55;6/4/11;Q2;H1;2011;6;June;Jun;4;Saturday;Sat;6.15;193912;27%;L8dG9In5y58
647173;Mr.;Milan;F;Krawczyk;M;milan.krawczyk@hotmail.com;04/04/1980;527-99-6328;240-748-4111;Gibson Island;Anne Arundel;Gibson Island;MD;21056;South;mfkrawczyk;Tommie Krawczyk;Billi Krawczyk;Soriano;7:07:22 a. m.;37.34;68;1/19/2012;Q1;H1;2012;1;January;Jan;19;Thursday;Thu;5.53;123681;11%;f!Cv42mMK
847634;Mr.;Elmer;R;Jason;M;elmer.jason@yahoo.com;04/09/1996;063-02-5994;236-751-5963;Mendota;Washington;Mendota;VA;24270;South;erjason;Marshall Jason;Paulene Jason;Atherton;12:55:59 a. m.;21.32;78;5/28/2017;Q2;H1;2017;5;May;May;28;Sunday;Sun;0.17;93504;26%;eiHcRh@btnmQ
260736;Ms.;Zelda;P;Forest;F;zelda.forest@ibm.com;11/27/1959;421-67-5501;212-268-4076;Schenectady;Schenectady;Schenectady;NY;12306;Northeast;zpforest;Chester Forest;Marti Forest;Bedell;8:49:14 p. m.;57.71;57;1/28/2014;Q1;H1;2014;1;January;Jan;28;Tuesday;Tue;3.5;176642;29%;JR>O-}u]hWM
811306;Mr.;Rhett;P;Wan;M;rhett.wan@hotmail.com;7/14/1976;608-87-8674;209-984-3789;Selma;Fresno;Selma;CA;93662;West;rpwan;Johnny Wan;Keva Wan;Gehring;12:06:19 a. m.;41.07;71;1/21/2009;Q1;H1;2009;1;January;Jan;21;Wednesday;Wed;8.52;59406;25%;X|4}dm%g~Z&A4q
956633;Mr.;Hal;H;Farrow;M;hal.farrow@cox.net;3/15/1967;661-22-0722;209-550-0139;Modesto;Stanislaus;Modesto;CA;95353;West;hhfarrow;Monty Farrow;Bernardina Farrow;Stewart;2:45:15 a. m.;50.41;87;2/25/1991;Q1;H1;1991;2;February;Feb;25;Monday;Mon;26.44;164580;21%;Anx#>F?{]m.F
629539;Dr.;Del;I;Fernandez;M;del.fernandez@hotmail.com;8/13/1991;510-33-5541;216-900-3642;Kent;Portage;Kent;OH;44243;Midwest;difernandez;Freeman Fernandez;Elisha Fernandez;Farias;9:37:47 p. m.;25.98;60;4/7/16;Q2;H1;2016;4;April;Apr;7;Thursday;Thu;1.31;138662;25%;z*k8JKZGznKe
784160;Dr.;Corey;A;Jackman;M;corey.jackman@gmail.com;04/12/1959;651-62-1513;212-389-8573;Jamaica;Jamaica;Jamaica;NY;11480;Northeast;cajackman;Kris Jackman;Molly Jackman;Feller;12:27:16 p. m.;58.33;80;6/29/1984;Q2;H1;1984;6;June;Jun;29;Friday;Fri;33.1;57616;21%;ca:y2tLb
744723;Hon.;Bibi;H;Paddock;F;bibi.paddock@yahoo.co.in;10/20/1991;311-35-3566;423-355-3751;Rickman;Overton;Rickman;TN;38580;South;bhpaddock;Gilberto Paddock;Celia Paddock;Smtih;10:09:34 p. m.;25.79;52;11/2/16;Q4;H2;2016;11;November;Nov;2;Wednesday;Wed;0.73;87148;0%;vC~mwkem
423093;Mr.;Eric;O;Manning;M;eric.manning@yahoo.com;11/02/1980;647-21-1863;319-913-5811;Clermont;Fayette;Clermont;IA;52135;Midwest;eomanning;Chas Manning;Shirleen Manning;Batson;8:48:01 p. m.;36.76;64;10/28/2002;Q4;H2;2002;10;October;Oct;28;Monday;Mon;14.76;149363;4%;oHAn%9aDXG\_@k%
207808;Ms.;Renetta;T;Hafner;F;renetta.hafner@aol.com;1/29/1975;539-71-9884;239-664-4998;Fort Lauderdale;Broward;Fort Lauderdale;FL;33335;South;rthafner;Phil Hafner;Mora Hafner;Eberhardt;11:50:51 a. m.;42.52;50;8/22/1998;Q3;H2;1998;8;August;Aug;22;Saturday;Sat;18.95;180289;14%;xm2OaKOsyzegc
338634;Ms.;Paz;T;Pearman;F;paz.pearman@gmail.com;2/28/1960;665-22-7253;319-435-3438;Garnavillo;Clayton;Garnavillo;IA;52049;Midwest;ptpearman;Sean Pearman;Mikaela Pearman;Boehm;8:35:18 p. m.;57.45;46;5/25/1982;Q2;H1;1982;5;May;May;25;Tuesday;Tue;35.2;144804;25%;N-ap5/@F*<
324573;Hon.;Ardath;Q;Forman;F;ardath.forman@gmail.com;11/12/1982;449-99-5082;229-447-5924;Athens;Clarke;Athens;GA;30602;South;aqforman;Glenn Forman;Consuela Forman;Jobe;4:54:17 a. m.;34.73;56;10/16/2009;Q4;H2;2009;10;October;Oct;16;Friday;Fri;7.79;189373;17%;zj5f~@4rH!5.aY
